likely_mpid,expt_gap,formula
mp-1105573,1.12,Ba2GdGaTe5
,2.24,Ba2GdInSe5
,1.36,Ba2GdInTe5
mp-1194545,2.4,Ba2HgS5
mp-22841,2.47,Ba2In2S5
mp-573635,2.12,Ba2In2Se5
mp-1197611,2.32,Ba2InAgS4
mp-864638,1.55,Ba2InBiS5
mp-1189339,1.92,Ba2InSbSe5
mp-15889,0.0,Ba2LaIrO6
mp-8924,0.0,Ba2LiFe2N3
mp-1191092,0.45,Ba2NaCu3S5
,2.12,Ba2NdGaS5
mp-1205363,2.18,Ba2NdGaSe5
mp-1190093,2.2,Ba2NdInSe5
mp-1205400,1.37,Ba2NdInTe5
mp-20286,0.0,Ba2ReNiO6
,2.7,Ba2Sb7HO14
,0.0,Ba2ScIrO6
,4.19,Ba2ScTaO6
mp-21451,0.0,Ba2SmCu3O7
mp-1189376,2.27,Ba2SmGaSe5
mp-1189729,1.04,Ba2SmGaTe5
mp-1188304,2.22,Ba2SmInSe5
,1.36,Ba2SmInTe5
,3.02,Ba2SmTaO6
mp-1192595,1.9,Ba2SnSe4
mp-31307,1.8,Ba2SnSe5
mp-1079630,4.17,Ba2TaInO6
mp-12410,0.0,Ba2TbIrO6
mp-1078405,1.75,Ba2ThCu2Se5
mp-1205359,0.0,Ba2UCuO6
mp-1204192,3.16,Ba2V2Te2O11
mp-556688,3.48,Ba2V2ZnO8
,2.64,Ba2V4(TeO6)3
mp-1106265,2.31,Ba2YGaSe5
mp-1189739,1.08,Ba2YGaTe5
mp-1205397,2.31,Ba2YInSe5
mp-1106096,1.36,Ba2YInTe5
mp-6430,0.0,Ba2YReO6
mp-15039,0.0,Ba2Yb(CuO2)4
,3.54,Ba2Zn0.2B2S5.2
mp-1190528,2.75,Ba2ZnSe3
mp-1190380,2.1,Ba2ZnTe3
mp-10669,0.0,Ba3(AlGe)2
mp-30254,0.0,Ba3(LiSn2)4
,2.37,Ba3Ag2(SnS4)2
,3.01,Ba3B1.5Sb0.5S6
,2.62,Ba3BSbS6
,1.89,Ba3BSbSe6
,2.43,Ba3Bi0.5B1.5S6
mp-556407,2.3,Ba3Bi2TeO9
mp-17448,0.0,Ba3CaIr2O9
mp-6443,0.0,Ba3CaRu2O9
,2.75,Ba3Cd(SnS4)2
,0.0,Ba3Co10O17
mp-30903,0.0,Ba3CrS5
mp-560798,3.28,Ba3Dy2(PS4)4
mp-560534,3.3,Ba3Er2(PS4)4
mp-541721,0.0,Ba3ErRu2O9
,4.09,Ba3Eu(PO4)3
mp-1195713,1.65,Ba3FeS4Br
mp-684036,3.41,Ba3Gd2(PS4)4
mp-1200759,3.0,Ba3GeS5
mp-559171,3.3,Ba3Ho2(PS4)4
mp-1200796,3.87,Ba3In2(PO4)4
mp-1205371,3.42,Ba3InS4Cl
,1.8,Ba3La3(Cu3O7)2
mp-6325,4.28,Ba3MgTa2O9
,0.0,Ba3N2
mp-21876,0.0,Ba3NaIr2O9
mp-9746,0.0,Ba3NaIrO6
mp-31514,0.0,Ba3Nb2CoO9
mp-1195033,1.3,Ba3Nb2Se9
mp-1194911,6.89,Ba3P3ClO10
,0.0,Ba3PN
mp-1195624,2.4,Ba3Sb2S7
,0.97,Ba3Sn(SbSe4)2
,0.79,Ba3Sn0.87Bi2.13Se8
mp-1195068,1.6,Ba3Ta2Se9
,4.32,Ba3Ta2ZnO9
,2.8,Ba3Ta5NO14
mp-554264,3.37,Ba3Tb2(PS4)4
,0.0,Ba3Te
mp-1095255,1.96,Ba3ThSe7
mp-1200758,2.87,Ba3V2(SeO4)4
mp-1205382,0.0,Ba3YIr2O9
,0.0,Ba3Yb4O9
mp-561170,0.0,Ba3ZrRu2O9
,7.1,Ba4B11O20F
,2.18,Ba4Ga4GeSe12
mp-1195344,2.16,Ba4Ga4SnSe12
,2.52,Ba4Ga5AgS12
,2.82,Ba4Ga5CuS12
,1.45,Ba4Ga5CuSe12
,0.31,Ba4Ga5Si18
,2.91,Ba4Ge3S9Cl2
,1.89,Ba4Ge3Se9Cl2
,2.41,Ba4InAgSe6
,2.23,Ba4InCuSe6
mp-1197353,2.65,Ba4LiGa5Se12
mp-4564,0.0,Ba4Nb14O23
,2.09,Ba4Sb3S8Cl
mp-17815,0.0,Ba4Si20Au3
,1.76,Ba4Si3Se9Cl2
mp-636383,0.0,Ba4Sm2Cu2O9
mp-653337,0.0,Ba4Yb(CuO3)3
,2.2,Ba5(Ga2Se5)2
mp-1204617,2.51,Ba5(GaSe4)2
mp-570390,0.0,Ba5Al2Ge7
mp-29621,0.0,Ba5Bi3
,2.6,Ba5Cd(Ga2Se5)3
,1.39,Ba5Ga6GeP12
,1.21,Ba5Ga6SnP12
mp-21538,0.0,Ba5Ge3
mp-31407,0.0,Ba5In4Bi5
mp-1105201,2.13,Ba5In4Te4S7
mp-9909,0.0,Ba5Sb3
,3.85,Ba5V3O12F
,3.44,Ba6Al4B14O33
,1.99,Ba6Ga2SnSe11
,0.0,Ba6In2NF
mp-1196224,1.52,Ba6Sn6Se13
,2.29,Ba7(SnS3)5
,4.94,Ba7B3O9F5
,2.6,Ba7Ga5AgS15
mp-556877,0.0,Ba7Ru4Br2O15
mp-1019529,3.1,Ba8Al10B12O41
,1.98,Ba8Hg4Se7S5
mp-1195594,2.31,Ba8Sn4S15
,0.0,Ba8Ta7O24
mp-11840,0.0,BaAg
mp-1241,0.0,BaAg2
mp-1190401,2.2,BaAgSbS3
mp-551,0.0,BaAl2
mp-1191234,3.4,BaAl4Se7
,0.0,BaAlCu4O7
,2.32,BaAu(IO3)5
mp-30363,0.0,BaAu2
mp-954,2.64,BaB6
mp-1103527,6.89,BaBClF4
mp-866301,2.34,BaBSbS4
mp-552806,3.71,BaBiClO2
mp-1019542,5.6,BaCaB2O5
mp-583645,0.0,BaCaSn3
mp-12306,2.3,BaCdSnS4
mp-12364,0.48,BaCu2SnSe4
,2.0,BaCuSbS3
,1.6,BaCuSbSe3
mp-13287,2.3,BaCuTeF
mp-22550,0.0,BaDy2CuO5
mp-579071,0.0,BaEu2Mn2O7
,3.23,BaGa2GeS6
,3.75,BaGa2SiS6
,2.88,BaGa2SiSe6
mp-4309,3.54,BaGa4S7
mp-1191072,2.64,BaGa4Se7
mp-2139,1.0,BaGe2
mp-22346,0.0,BaGe3Pt
,1.54,BaGe4(IrS3)2
,1.33,BaGe4(IrSe3)2
,1.09,BaGe4(RhSe3)2
mp-28007,1.93,BaHgS2
,1.56,BaHgSe2
mp-1205018,3.97,BaIn2(P2O7)2
mp-22780,0.0,BaIn2Ir
mp-22423,0.0,BaLa2CoS5
,1.87,BaLa2In2S7
,1.66,BaLa2In2Se7
mp-559703,3.81,BaLa2Te5O14
mp-210,0.0,BaLi4
,0.0,BaMn4O7
,0.0,BaMn4ZnO8
mp-1205336,0.0,BaMnO3
,3.7,BaNa2GeS4
,2.25,BaNa2GeSe4
,3.27,BaNa2SnS4
,2.46,BaNa2SnSe4
mp-1019554,4.78,BaNaB5O9
mp-505517,0.0,BaNb4O6
mp-1342,4.8,BaO
mp-1106270,1.97,BaPd(IO3)4
,2.15,BaPdSe6
mp-22705,2.0,BaPrO3
mp-811,0.0,BaPt5
mp-28911,3.44,BaReH9
mp-1500,3.88,BaS
mp-2499,0.0,BaSi
mp-1477,1.3,BaSi2
mp-1202711,2.35,BaSn2S5
mp-7759,0.0,BaSn3
mp-3163,3.1,BaSnO3
,1.78,BaTaNO2
mp-558858,0.0,BaTbMn2O6
mp-1000,3.4,BaTe
mp-1203413,3.12,BaTeMo2O9
,0.0,BaTh3
,0.0,BaTi14O28
,0.0,BaTi4O7
,0.0,BaTi4O8
,0.0,BaTl(MoO3)2
,0.0,BaTl3
,1.0,BaUSe3
mp-1200210,2.13,BaV2SeO8
,0.0,BaYb2O4
mp-571479,0.0,BaYbSn3
,0.0,BaZn(MoO2)4
mp-303,0.0,BaZn5
,2.46,BaZnGeSe4
mp-548469,3.9,BaZnSO
,2.71,BaZnSiSe4
mp-571622,0.0,Be12Pt
mp-569364,0.0,Be22Re
,0.0,Be2HgTe
mp-11282,0.0,Be2W
mp-18337,3.8,Be3N2
,0.67,Be3Sb2
mp-4262,0.0,BeAlB
mp-2323,0.0,BeCu
,0.0,BeFe2Si
,0.0,BeGaO3
,0.0,BeGaRh2
mp-2542,10.39,BeO
mp-13452,0.0,BePd2
mp-13453,0.0,BePd3
mp-422,4.17,BeS
mp-1541,4.0,BeSe
,0.0,BeSiOs2
,0.0,BeSiRu2
,0.0,BeTcSe
mp-252,2.89,BeTe
,0.79,Bi0.002Te0.003Pb0.999Se0.999
,0.28,Bi0.04Te0.06Pb0.98Se0.98
,0.28,Bi0.2Sb1.8Te3
,0.25,Bi0.2Te0.3Pb0.9Se0.9
,0.21,Bi0.4Sb1.6Te3
,0.22,Bi0.4Te0.6Pb0.8Se0.8
,0.2,Bi0.6Sb1.4Te3
,0.17,Bi1.4Sb0.6Te3
,0.16,Bi1.6Sb0.4Te3
,0.15,Bi1.8Sb0.2Te3
,0.14,Bi1.98Sb0.02Te3
,3.25,Bi12PO20
,0.0,Bi12Rh12O41
,0.02,Bi1Sb0.15
,0.0,Bi2(BO3)3
mp-23388,2.9,Bi2(MoO4)3
,0.0,Bi2(PO4)3
,2.91,Bi24BO39
,3.43,Bi2AsClO4
mp-30200,3.42,Bi2CO5
mp-1204764,3.3,Bi2I4O13
mp-1200193,3.15,Bi2Mo2Se2O13
,0.0,Bi2O5
mp-23012,0.0,Bi2Pd3S2
mp-568531,0.0,Bi2Pt
,3.74,Bi2SI2O11
mp-541837,0.35,Bi2Se3
,3.7,Bi2SeI2O11
,0.27,Bi2Te0.03Se2.97
,0.78,Bi2Te0.1Se2.9
,0.24,Bi2Te0.3Se2.7
,0.2,Bi2Te0.45Se2.55
,0.7,Bi2Te0.4Se2.6
,0.28,Bi2Te0.6Se2.4
,0.28,Bi2Te0.9Se2.1
,0.28,Bi2Te1.2Se1.8
,0.29,Bi2Te1.5Se1.5
,0.29,Bi2Te2.1Se0.9
,0.25,Bi2Te2.4Se0.6
,0.2,Bi2Te2.7Se0.3
,0.15,Bi2Te2.97Se0.03
,3.6,Bi2Te2SO10
mp-29666,0.3,Bi2Te2Se
mp-34202,0.25,Bi2Te3
,2.6,Bi3BTeO9
,3.7,Bi3I4O13F3
,3.59,Bi3Se2NO11
mp-583234,0.0,Bi4I
mp-1190436,0.29,Bi4Pb7Se13
,2.06,Bi4Pd(SeO3)4
mp-554445,2.76,Bi5IO7
mp-1190898,4.05,Bi7O5F11
,0.4,Bi8Te7S5
,1.27,Bi9S6O7.5
,0.0,BiAs2Os
mp-556601,3.2,BiBPbO4
mp-568301,2.66,BiBr3
mp-23072,2.92,BiBrO
mp-22939,3.46,BiClO
,3.97,BiIO3F2
,0.0,BiO
,3.7,BiP3(PbO4)3
mp-558798,3.85,BiPO4
,1.6,BiPb2S2I3
mp-23084,2.45,BiPbClO2
mp-1008488,0.0,BiPd
mp-23324,1.88,BiSBr
mp-23318,1.89,BiSCl
mp-23514,1.56,BiSI
,0.19,BiSbTe3
mp-27902,0.4,BiSe
mp-23020,1.28,BiSeI
,3.83,BiSeO3F
mp-22965,0.46,BiTeI
mp-1195032,3.62,BiTeNO6
,3.7,CBr4
,2.26,CI4
mp-7878,0.0,Ca(AgGe)2
mp-17871,0.0,Ca(Al4Co)2
mp-30175,0.0,Ca(AlZn)2
mp-10289,0.0,Ca(BC)2
mp-14445,0.0,Ca(BIr)2
mp-558751,3.08,Ca(BiO2)2
mp-4259,0.0,Ca(CoGe)2
,0.0,Ca(CoS2)4
,2.55,Ca(GdS2)2
mp-16261,0.0,Ca(GeRh)2
,2.7,Ca(LaS2)2
mp-5498,0.0,Ca(MnAs)2
,2.7,Ca(NdS2)2
,0.0,Ca(Ni2O3)2
,2.9,Ca(PrS2)2
mp-567769,0.0,Ca(SiPd)2
,2.05,Ca(SmS2)2
,0.0,Ca(TiS2)4
mp-1019569,5.47,Ca10Ge16(B2O17)3
mp-27298,0.0,Ca11Bi10
mp-30474,0.0,Ca11Ga7
mp-28848,3.34,Ca2Bi2O5
mp-1095180,0.95,Ca2CdAs2
,0.0,Ca2CdPb
,0.0,Ca2Co9O13
,0.0,Ca2CuWO6
mp-304,1.0,Ca2Ge
mp-29809,0.0,Ca2GeN2
,0.0,Ca2Mn9O13
mp-18907,0.0,Ca2MnAlO5
,0.0,Ca2NiIrO6
mp-2923,0.0,Ca2Os2O7
mp-20723,0.0,Ca2PbAu2
mp-1189528,3.68,Ca2ScSbO6
mp-2517,1.9,Ca2Si
,3.45,Ca2SmTaO6
mp-22735,0.9,Ca2Sn
,0.0,Ca2Sn2F3
mp-866503,2.32,Ca2SnS4
,0.0,Ca2Ti9O13
,0.0,Ca2TlCd
,0.0,Ca2ZnRh
mp-31479,0.0,Ca3(GaPt)2
mp-27997,0.0,Ca3Al2Ge3
mp-30366,0.0,Ca3Au
mp-12699,0.0,Ca3Au4
,4.2,Ca3Bi(PO4)3
,0.0,Ca3BiAs
,0.0,Ca3BiSb
mp-23095,0.0,Ca3Cu2(ClO2)2
mp-20581,0.0,Ca3In
,1.45,Ca3La2(SnS4)3
mp-844,1.55,Ca3N2
,0.0,Ca3PbN
,1.4,Ca3Sb2
,0.0,Ca3SbN
,0.0,Ca3Sn2S7
,1.65,Ca3Ti2(SiO4)3
mp-10554,0.0,Ca3TlN
,0.0,Ca3Zr17O37
,0.0,Ca4Al3O10
,2.76,Ca4Bi6O13
,2.6,Ca5(Bi7O13)2
mp-30367,0.0,Ca5Au2
mp-6632,6.53,Ca5B3O9F
mp-570356,0.0,Ca5Ir
mp-17564,0.0,Ca5Sb3
,0.0,Ca5Sn4S13
mp-542496,0.0,Ca6Ag16N
mp-579544,0.0,Ca6Cu2Sn7
,0.0,CaAgF5
mp-568920,0.0,CaAu5
mp-865,4.5,CaB6
,0.0,CaCdPd2
,0.0,CaCdSi
mp-1882,0.0,CaCu5
,0.0,CaEu2O3
,0.0,CaEuO2
mp-2741,9.92,CaF2
mp-11431,0.0,CaGa3Ni2
mp-567485,0.0,CaGaAu3
mp-541310,0.0,CaGaGe
mp-13286,0.0,CaGe2
,0.0,CaHfZn
mp-11287,0.0,CaHg2
mp-30031,5.98,CaI2
mp-20846,0.0,CaIn2Ir
mp-20838,0.0,CaIn4Ir
mp-20378,0.0,CaInAu
mp-570689,0.0,CaInPt
mp-4243,0.0,CaIrO3
mp-5795,3.25,CaMg2N2
mp-4864,0.0,CaMgSn
mp-20233,0.0,CaMnSn
mp-774,0.0,CaNi5
,0.0,CaOsO3
mp-20034,0.0,CaPb
,0.0,CaPd3C
,0.0,CaPrZn2
mp-4190,4.4,CaSnO3
,2.4,CaTaNO2
,0.0,CaTi4O8
,0.0,CaTiO2
,0.0,CaVO2
mp-541276,0.0,CaYbInSe4
mp-1725,0.0,CaZn2
,0.0,CaZn3
mp-542953,0.0,CaZn3Ni2
mp-1734,0.0,CaZn5
mp-7204,3.7,CaZnSO
mp-4452,3.4,Cd(GaS2)2
,1.17,Cd(In15Te23)2
,3.76,Cd(PS2)2
,0.72,Cd0.01Ga0.99Sb0.99Te0.01
,1.72,Cd0.01Hg0.99Se1
,0.76,Cd0.01In0.99Te0.01As0.99
,0.73,Cd0.02In0.98Te0.02As0.98
,0.71,Cd0.03In0.97Te0.03As0.97
,0.69,Cd0.04In0.96Te0.04As0.96
,0.74,Cd0.05Ga0.95Sb0.95Te0.05
,0.68,Cd0.05In0.95Te0.05As0.95
,0.68,Cd0.06In0.94Te0.06As0.94
,0.68,Cd0.07In0.93Te0.07As0.93
,0.78,Cd0.1Ga0.9Sb0.9Te0.1
,0.69,Cd0.1In0.9Te0.1As0.9
,0.06,Cd0.204Hg0.796Te1
,0.12,Cd0.23Hg0.77Te1
,0.21,Cd0.28Hg0.72Te1
,0.8,Cd0.2Ga0.8Sb0.8Te0.2
,0.42,Cd0.2In2.4Ag0.4Te4
,0.28,Cd0.35Hg0.65Te1
,0.35,Cd0.37Hg0.63Te1
,1.1,Cd0.3Hg0.7Se1
,0.27,Cd0.3Hg0.7Te1
,0.95,Cd0.4Hg0.6Se1
,0.8,Cd0.5Hg0.5Se1
,0.39,Cd0.5In2.25Ag0.25Te4
,0.19,Cd0.5In2.2Ag0.4Te4
,0.7,Cd0.6Hg0.4Se1
,0.54,Cd0.75In2.1Ag0.2Te4
,0.55,Cd0.7Hg0.3Se1
,0.45,Cd0.8Hg0.2Se1
,0.29,Cd0.8In2.1Ag0.1Te4
,1.35,Cd0.99Ga0.01Sb0.01Te0.99
,0.29,Cd0.99Hg0.01Se1
,0.35,Cd0.9Hg0.1Se1
mp-1204954,4.29,Cd12Ge17(B4O29)2
mp-703595,0.0,Cd13I28
,2.4,Cd1Se0.01S0.99
,2.23,Cd1Se0.2S0.8
,2.13,Cd1Se0.35S0.65
,2.05,Cd1Se0.45S0.55
,1.93,Cd1Se0.65S0.35
,1.68,Cd1Se0.99S0.01
,0.0,Cd2AgRh
,0.47,Cd2InAgTe3
,0.7,Cd2InCuTe3
,0.85,Cd2InCuTe4
,0.0,Cd2PbO4
,2.56,Cd3AgPS6
,3.9,Cd3Bi(PO4)3
,0.2,Cd3Bi2
,1.23,Cd3In2(Te2S)2
mp-2441,0.5,Cd3P2
,0.3,Cd3Sb2
,3.81,Cd3Te2MoO10
mp-28914,2.19,Cd4P2Br3
mp-29746,2.17,Cd4P2Cl3
mp-568545,2.17,Cd4P2I3
mp-29044,1.83,Cd4Sb2I3
,1.25,Cd4Sb3
,1.29,Cd5Ga2(Te3S)2
,0.85,Cd6P7
,3.14,Cd8B5O15F
mp-2642,0.0,CdAg
,2.49,CdAg2(PS3)2
mp-1197203,2.32,CdAg2GeS4
mp-1025294,0.0,CdAsPd5
,0.0,CdAuO2
mp-550553,3.08,CdBiClO2
mp-27934,4.47,CdBr2
mp-22881,5.7,CdCl2
mp-1195655,3.33,CdCu(SeO3)2
mp-13982,2.05,CdCu2GeS4
mp-10967,1.2,CdCu2GeSe4
mp-1078292,1.37,CdCu2SnS4
mp-16565,0.96,CdCu2SnSe4
mp-241,6.0,CdF2
,4.35,CdHIO4
mp-570838,1.45,CdHg4(AsI2)2
mp-567910,1.89,CdHg6(As2Br3)2
mp-571579,3.8,CdI2
mp-1191962,4.3,CdIClO3
,0.6,CdIn
,1.02,CdIn8Te13
,1.66,CdInCuSe3
mp-1132,2.3,CdO
,4.85,CdP4PbO12
mp-1696,0.0,CdPd
mp-1194,0.0,CdPt
mp-15638,0.0,CdRhF6
mp-567556,1.4,CdSb2Se3Br2
,3.4,CdSb4MoO10
mp-754329,3.0,CdSnO3
mp-3286,0.0,Ce(AlZn)2
mp-20908,0.0,Ce(BC)2
mp-568182,0.0,Ce(CoAs)2
mp-22165,0.0,Ce(CoB)4
mp-1006321,0.0,Ce(CuSb)2
,0.0,Ce(HO)3
,1.11,Ce(InS2)3
mp-21089,0.0,Ce(MnGe)2
mp-2965,0.0,Ce(MnSi)2
mp-607725,0.0,Ce(PPt2)2
mp-5173,0.0,Ce(SiAu)2
mp-4537,0.0,Ce(SiNi)2
mp-3826,0.0,Ce(SiPd)2
,1.25,Ce1.3Lu0.7S3
mp-1198305,1.93,Ce10Se14O
mp-28370,3.5,Ce15B8N25
,2.01,Ce1Mn0.5Se1O1
mp-18287,0.0,Ce2(SbPd3)3
,0.3,Ce2(SnSe3)3
mp-16484,0.0,Ce2Al2Co15
mp-574273,0.0,Ce2Co5B2
mp-9277,0.0,Ce2CrN3
,0.0,Ce2Cu(NO)2
mp-1078159,0.64,Ce2Fe(SeO)2
mp-654,0.0,Ce2Fe17
,1.1,Ce2Ge2Se7
,1.7,Ce2GeSe5
,0.0,Ce2S2O
mp-20973,1.12,Ce2S3
mp-22678,0.0,Ce2Sb
,1.75,Ce2Se3
mp-542664,0.0,Ce2SiSeO4
,0.0,Ce2Ti2O7
mp-574021,0.0,Ce2ZnNi2
mp-31079,0.0,Ce3(Al3Ru)4
mp-21393,0.0,Ce3Al
mp-10036,0.0,Ce3AlC
mp-680695,0.0,Ce3B2(ClO2)3
mp-606102,0.0,Ce3In3Ru2
mp-645694,1.1,Ce3LuSe6
mp-866500,0.0,Ce3MnAlS7
mp-639904,2.0,Ce3MoO7
mp-683997,0.0,Ce3NbS3O4
,0.0,Ce3Pd5
mp-569913,0.0,Ce3SiPt5
